Ticker,Company,Country,Sector,Industry
CBRE,"CBRE Group, Inc.",United States,Real Estate,Real Estate Services
CDW,CDW Corporation,United States,Technology,Information Technology Services
CE,Celanese Corporation,United States,Basic Materials,Chemicals
COR,"Cencora, Inc.",United States,Healthcare,Medical Distribution
CNC,Centene Corporation,United States,Healthcare,Healthcare Plans
CNP,"CenterPoint Energy, Inc.",United States,Utilities,Utilities - Regulated Electric
CF,"CF Industries Holdings, Inc.",United States,Basic Materials,Agricultural Inputs
CRL,"Charles River Laboratories International, Inc.",United States,Healthcare,Diagnostics & Research
SCHW,The Charles Schwab Corporation,United States,Financial Services,Capital Markets
CHTR,"Charter Communications, Inc.",United States,Communication Services,Telecom Services
CVX,Chevron Corporation,United States,Energy,Oil & Gas Integrated
CMG,"Chipotle Mexican Grill, Inc.",United States,Consumer Cyclical,Restaurants
CB,Chubb Limited,Switzerland,Financial Services,Insurance - Property & Casualty
CHD,"Church & Dwight Co., Inc.",United States,Consumer Defensive,Household & Personal Products
CI,The Cigna Group,United States,Healthcare,Healthcare Plans
CINF,Cincinnati Financial Corporation,United States,Financial Services,Insurance - Property & Casualty
CTAS,Cintas Corporation,United States,Industrials,Specialty Business Services
CSCO,"Cisco Systems, Inc.",United States,Technology,Communication Equipment
C,Citigroup Inc.,United States,Financial Services,Banks - Diversified
CFG,"Citizens Financial Group, Inc.",United States,Financial Services,Banks - Regional
CLX,The Clorox Company,United States,Consumer Defensive,Household & Personal Products
CME,CME Group Inc.,United States,Financial Services,Financial Data & Stock Exchanges
CMS,CMS Energy Corporation,United States,Utilities,Utilities - Regulated Electric
KO,The Coca-Cola Company,United States,Consumer Defensive,Beverages - Non-Alcoholic
CTSH,Cognizant Technology Solutions Corporation,United States,Technology,Information Technology Services
CL,Colgate-Palmolive Company,United States,Consumer Defensive,Household & Personal Products
CMCSA,Comcast Corporation,United States,Communication Services,Telecom Services
CAG,"Conagra Brands, Inc.",United States,Consumer Defensive,Packaged Foods
COP,ConocoPhillips,United States,Energy,Oil & Gas E&P
ED,"Consolidated Edison, Inc.",United States,Utilities,Utilities - Regulated Electric
STZ,"Constellation Brands, Inc.",United States,Consumer Defensive,Beverages - Brewers
CEG,Constellation Energy Corporation,United States,Utilities,Utilities - Renewable
COO,"The Cooper Companies, Inc.",United States,Healthcare,Medical Instruments & Supplies
CPRT,"Copart, Inc.",United States,Industrials,Specialty Business Services
GLW,Corning Incorporated,United States,Technology,Electronic Components
CPAY,"Corpay, Inc.",United States,Technology,Software - Infrastructure
CTVA,"Corteva, Inc.",United States,Basic Materials,Agricultural Inputs
CSGP,"CoStar Group, Inc.",United States,Real Estate,Real Estate Services
COST,Costco Wholesale Corporation,United States,Consumer Defensive,Discount Stores
CTRA,Coterra Energy Inc.,United States,Energy,Oil & Gas E&P
CRWD,"CrowdStrike Holdings, Inc.",United States,Technology,Software - Infrastructure
CCI,Crown Castle Inc.,United States,Real Estate,REIT - Specialty
CSX,CSX Corporation,United States,Industrials,Railroads
CMI,Cummins Inc.,United States,Industrials,Specialty Industrial Machinery
CVS,CVS Health Corporation,United States,Healthcare,Healthcare Plans
DHR,Danaher Corporation,United States,Healthcare,Diagnostics & Research
DRI,"Darden Restaurants, Inc.",United States,Consumer Cyclical,Restaurants
DVA,DaVita Inc.,United States,Healthcare,Medical Care Facilities
DAY,Dayforce Inc,United States,Technology,Software - Application
DECK,Deckers Outdoor Corporation,United States,Consumer Cyclical,Footwear & Accessories
DE,Deere & Company,United States,Industrials,Farm & Heavy Construction Machinery
DELL,Dell Technologies Inc.,United States,Technology,Computer Hardware
DAL,"Delta Air Lines, Inc.",United States,Industrials,Airlines
DVN,Devon Energy Corporation,United States,Energy,Oil & Gas E&P
DXCM,"DexCom, Inc.",United States,Healthcare,Medical Devices
FANG,"Diamondback Energy, Inc.",United States,Energy,Oil & Gas E&P
DLR,"Digital Realty Trust, Inc.",United States,Real Estate,REIT - Specialty
DFS,Discover Financial Services,United States,Financial Services,Credit Services
DG,Dollar General Corporation,United States,Consumer Defensive,Discount Stores
DLTR,"Dollar Tree, Inc.",United States,Consumer Defensive,Discount Stores
D,"Dominion Energy, Inc.",United States,Utilities,Utilities - Regulated Electric
DPZ,"Domino's Pizza, Inc.",United States,Consumer Cyclical,Restaurants
DOV,Dover Corporation,United States,Industrials,Specialty Industrial Machinery
DOW,Dow Inc.,United States,Basic Materials,Chemicals
DHI,"D.R. Horton, Inc.",United States,Consumer Cyclical,Residential Construction
DTE,DTE Energy Company,United States,Utilities,Utilities - Regulated Electric
DUK,Duke Energy Corporation,United States,Utilities,Utilities - Regulated Electric
DD,"DuPont de Nemours, Inc.",United States,Basic Materials,Specialty Chemicals
EMN,Eastman Chemical Company,United States,Basic Materials,Specialty Chemicals
ETN,Eaton Corporation plc,Ireland,Industrials,Specialty Industrial Machinery
EBAY,eBay Inc.,United States,Consumer Cyclical,Internet Retail
ECL,Ecolab Inc.,United States,Basic Materials,Specialty Chemicals
EIX,Edison International,United States,Utilities,Utilities - Regulated Electric
EW,Edwards Lifesciences Corporation,United States,Healthcare,Medical Devices
EA,Electronic Arts Inc.,United States,Communication Services,Electronic Gaming & Multimedia
ELV,"Elevance Health, Inc.",United States,Healthcare,Healthcare Plans
EMR,Emerson Electric Co.,United States,Industrials,Specialty Industrial Machinery
ENPH,"Enphase Energy, Inc.",United States,Technology,Solar
ETR,Entergy Corporation,United States,Utilities,Utilities - Regulated Electric
EOG,"EOG Resources, Inc.",United States,Energy,Oil & Gas E&P
EPAM,"EPAM Systems, Inc.",United States,Technology,Information Technology Services
EQT,EQT Corporation,United States,Energy,Oil & Gas E&P
EFX,Equifax Inc.,United States,Industrials,Consulting Services
EQIX,"Equinix, Inc.",United States,Real Estate,REIT - Specialty
EQR,Equity Residential,United States,Real Estate,REIT - Residential
ERIE,Erie Indemnity Company,United States,Financial Services,Insurance Brokers
ESS,"Essex Property Trust, Inc.",United States,Real Estate,REIT - Residential
EL,The Estée Lauder Companies Inc.,United States,Consumer Defensive,Household & Personal Products
EG,"Everest Group, Ltd.",Bermuda,Financial Services,Insurance - Reinsurance
EVRG,"Evergy, Inc.",United States,Utilities,Utilities - Regulated Electric
ES,Eversource Energy,United States,Utilities,Utilities - Regulated Electric
EXC,Exelon Corporation,United States,Utilities,Utilities - Regulated Electric
EXPE,"Expedia Group, Inc.",United States,Consumer Cyclical,Travel Services
EXPD,"Expeditors International of Washington, Inc.",United States,Industrials,Integrated Freight & Logistics
EXR,Extra Space Storage Inc.,United States,Real Estate,REIT - Industrial
XOM,Exxon Mobil Corporation,United States,Energy,Oil & Gas Integrated
FFIV,"F5, Inc.",United States,Technology,Software - Infrastructure
FDS,FactSet Research Systems Inc.,United States,Financial Services,Financial Data & Stock Exchanges
FICO,Fair Isaac Corporation,United States,Technology,Software - Application
FAST,Fastenal Company,United States,Industrials,Industrial Distribution
FRT,Federal Realty Investment Trust,United States,Real Estate,REIT - Retail
FDX,FedEx Corporation,United States,Industrials,Integrated Freight & Logistics
FIS,"Fidelity National Information Services, Inc.",United States,Technology,Information Technology Services
FITB,Fifth Third Bancorp,United States,Financial Services,Banks - Regional
FSLR,"First Solar, Inc.",United States,Technology,Solar
FE,FirstEnergy Corp.,United States,Utilities,Utilities - Regulated Electric
FI,"Fiserv, Inc.",United States,Technology,Information Technology Services
FMC,FMC Corporation,United States,Basic Materials,Agricultural Inputs
F,Ford Motor Company,United States,Consumer Cyclical,Auto Manufacturers
FTNT,"Fortinet, Inc.",United States,Technology,Software - Infrastructure
FTV,Fortive Corporation,United States,Technology,Scientific & Technical Instruments
FOXA,Fox Corporation,United States,Communication Services,Entertainment
FOX,Fox Corporation,United States,Communication Services,Entertainment
BEN,"Franklin Resources, Inc.",United States,Financial Services,Asset Management
FCX,Freeport-McMoRan Inc.,United States,Basic Materials,Copper
GRMN,Garmin Ltd.,Switzerland,Technology,Scientific & Technical Instruments
IT,"Gartner, Inc.",United States,Technology,Information Technology Services
GE,GE Aerospace,United States,Industrials,Aerospace & Defense
GEHC,GE HealthCare Technologies Inc.,United States,Healthcare,Health Information Services
GEV,GE Vernova Inc.,United States,Utilities,Utilities - Renewable
GEN,Gen Digital Inc.,United States,Technology,Software - Infrastructure
GNRC,Generac Holdings Inc.,United States,Industrials,Specialty Industrial Machinery
GD,General Dynamics Corporation,United States,Industrials,Aerospace & Defense
GIS,"General Mills, Inc.",United States,Consumer Defensive,Packaged Foods
GM,General Motors Company,United States,Consumer Cyclical,Auto Manufacturers
GPC,Genuine Parts Company,United States,Consumer Cyclical,Auto Parts
GILD,"Gilead Sciences, Inc.",United States,Healthcare,Drug Manufacturers - General
GPN,Global Payments Inc.,United States,Industrials,Specialty Business Services
GL,Globe Life Inc.,United States,Financial Services,Insurance - Life
GDDY,GoDaddy Inc.,United States,Technology,Software - Infrastructure
GS,"The Goldman Sachs Group, Inc.",United States,Financial Services,Capital Markets
HAL,Halliburton Company,United States,Energy,Oil & Gas Equipment & Services
HIG,"The Hartford Insurance Group, Inc.",United States,Financial Services,Insurance - Property & Casualty
HAS,"Hasbro, Inc.",United States,Consumer Cyclical,Leisure
HCA,"HCA Healthcare, Inc.",United States,Healthcare,Medical Care Facilities
DOC,"Healthpeak Properties, Inc.",United States,Real Estate,REIT - Healthcare Facilities
HSIC,"Henry Schein, Inc.",United States,Healthcare,Medical Distribution
HSY,The Hershey Company,United States,Consumer Defensive,Confectioners
HES,Hess Corporation,United States,Energy,Oil & Gas E&P
HPE,Hewlett Packard Enterprise Company,United States,Technology,Communication Equipment
HLT,Hilton Worldwide Holdings Inc.,United States,Consumer Cyclical,Lodging
HOLX,"Hologic, Inc.",United States,Healthcare,Medical Instruments & Supplies
HD,"The Home Depot, Inc.",United States,Consumer Cyclical,Home Improvement Retail
HON,Honeywell International Inc.,United States,Industrials,Conglomerates
HRL,Hormel Foods Corporation,United States,Consumer Defensive,Packaged Foods
HST,"Host Hotels & Resorts, Inc.",United States,Real Estate,REIT - Hotel & Motel
HWM,Howmet Aerospace Inc.,United States,Industrials,Aerospace & Defense
HPQ,HP Inc.,United States,Technology,Computer Hardware
HUBB,Hubbell Incorporated,United States,Industrials,Electrical Equipment & Parts
HUM,Humana Inc.,United States,Healthcare,Healthcare Plans
HBAN,Huntington Bancshares Incorporated,United States,Financial Services,Banks - Regional
HII,"Huntington Ingalls Industries, Inc.",United States,Industrials,Aerospace & Defense
IBM,International Business Machines Corporation,United States,Technology,Information Technology Services
IEX,IDEX Corporation,United States,Industrials,Specialty Industrial Machinery
IDXX,"IDEXX Laboratories, Inc.",United States,Healthcare,Diagnostics & Research
ITW,Illinois Tool Works Inc.,United States,Industrials,Specialty Industrial Machinery
INCY,Incyte Corporation,United States,Healthcare,Biotechnology
IR,Ingersoll Rand Inc.,United States,Industrials,Specialty Industrial Machinery
PODD,Insulet Corporation,United States,Healthcare,Medical Devices
INTC,Intel Corporation,United States,Technology,Semiconductors
ICE,"Intercontinental Exchange, Inc.",United States,Financial Services,Financial Data & Stock Exchanges
IFF,International Flavors & Fragrances Inc.,United States,Basic Materials,Specialty Chemicals
IP,International Paper Company,United States,Consumer Cyclical,Packaging & Containers
IPG,"The Interpublic Group of Companies, Inc.",United States,Communication Services,Advertising Agencies
INTU,Intuit Inc.,United States,Technology,Software - Application
ISRG,"Intuitive Surgical, Inc.",United States,Healthcare,Medical Instruments & Supplies
IVZ,Invesco Ltd.,United States,Financial Services,Asset Management
INVH,Invitation Homes Inc.,United States,Real Estate,REIT - Residential
IQV,IQVIA Holdings Inc.,United States,Healthcare,Diagnostics & Research
IRM,Iron Mountain Incorporated,United States,Real Estate,REIT - Specialty
JBHT,"J.B. Hunt Transport Services, Inc.",United States,Industrials,Integrated Freight & Logistics
JBL,Jabil Inc.,United States,Technology,Electronic Components
JKHY,"Jack Henry & Associates, Inc.",United States,Technology,Information Technology Services
J,Jacobs Solutions Inc.,United States,Industrials,Engineering & Construction
JNJ,Johnson & Johnson,United States,Healthcare,Drug Manufacturers - General
JCI,Johnson Controls International plc,Ireland,Industrials,Building Products & Equipment
JPM,JPMorgan Chase & Co.,United States,Financial Services,Banks - Diversified
JNPR,"Juniper Networks, Inc.",United States,Technology,Communication Equipment
K,Kellanova,United States,Consumer Defensive,Packaged Foods
KVUE,Kenvue Inc.,United States,Consumer Defensive,Household & Personal Products
KDP,Keurig Dr Pepper Inc.,United States,Consumer Defensive,Beverages - Non-Alcoholic
KEY,KeyCorp,United States,Financial Services,Banks - Regional
KEYS,"Keysight Technologies, Inc.",United States,Technology,Scientific & Technical Instruments
KMB,Kimberly-Clark Corporation,United States,Consumer Defensive,Household & Personal Products
KIM,Kimco Realty Corporation,United States,Real Estate,REIT - Retail
KMI,"Kinder Morgan, Inc.",United States,Energy,Oil & Gas Midstream
KKR,KKR & Co. Inc.,United States,Financial Services,Asset Management
KLAC,KLA Corporation,United States,Technology,Semiconductor Equipment & Materials
KHC,The Kraft Heinz Company,United States,Consumer Defensive,Packaged Foods
KR,The Kroger Co.,United States,Consumer Defensive,Grocery Stores
LHX,"L3Harris Technologies, Inc.",United States,Industrials,Aerospace & Defense
LH,Labcorp Holdings Inc.,United States,Healthcare,Diagnostics & Research
LRCX,Lam Research Corporation,United States,Technology,Semiconductor Equipment & Materials
LW,"Lamb Weston Holdings, Inc.",United States,Consumer Defensive,Packaged Foods
LVS,Las Vegas Sands Corp.,United States,Consumer Cyclical,Resorts & Casinos
LDOS,"Leidos Holdings, Inc.",United States,Technology,Information Technology Services
LEN,Lennar Corporation,United States,Consumer Cyclical,Residential Construction
LII,Lennox International Inc.,United States,Industrials,Building Products & Equipment
LLY,Eli Lilly and Company,United States,Healthcare,Drug Manufacturers - General
LIN,Linde plc,United Kingdom,Basic Materials,Specialty Chemicals
LYV,"Live Nation Entertainment, Inc.",United States,Communication Services,Entertainment
LKQ,LKQ Corporation,United States,Consumer Cyclical,Auto Parts
LMT,Lockheed Martin Corporation,United States,Industrials,Aerospace & Defense
L,Loews Corporation,United States,Financial Services,Insurance - Property & Casualty
LOW,"Lowe's Companies, Inc.",United States,Consumer Cyclical,Home Improvement Retail
LULU,Lululemon Athletica Inc.,Canada,Consumer Cyclical,Apparel Retail
LYB,LyondellBasell Industries N.V.,United States,Basic Materials,Specialty Chemicals
MTB,M&T Bank Corporation,United States,Financial Services,Banks - Regional
MPC,Marathon Petroleum Corporation,United States,Energy,Oil & Gas Refining & Marketing
MKTX,MarketAxess Holdings Inc.,United States,Financial Services,Capital Markets
MAR,"Marriott International, Inc.",United States,Consumer Cyclical,Lodging
MMC,"Marsh & McLennan Companies, Inc.",United States,Financial Services,Insurance Brokers
MLM,"Martin Marietta Materials, Inc.",United States,Basic Materials,Building Materials
MAS,Masco Corporation,United States,Industrials,Building Products & Equipment
MA,Mastercard Incorporated,United States,Financial Services,Credit Services
MTCH,"Match Group, Inc.",United States,Communication Services,Internet Content & Information
MKC,"McCormick & Company, Incorporated",United States,Consumer Defensive,Packaged Foods
MCD,McDonald's Corporation,United States,Consumer Cyclical,Restaurants
MCK,McKesson Corporation,United States,Healthcare,Medical Distribution
MDT,Medtronic plc,Ireland,Healthcare,Medical Devices
MRK,"Merck & Co., Inc.",United States,Healthcare,Drug Manufacturers - General
META,"Meta Platforms, Inc.",United States,Communication Services,Internet Content & Information
MET,"MetLife, Inc.",United States,Financial Services,Insurance - Life
MTD,Mettler-Toledo International Inc.,United States,Healthcare,Diagnostics & Research
MGM,MGM Resorts International,United States,Consumer Cyclical,Resorts & Casinos
MCHP,Microchip Technology Incorporated,United States,Technology,Semiconductors
MU,"Micron Technology, Inc.",United States,Technology,Semiconductors
MSFT,Microsoft Corporation,United States,Technology,Software - Infrastructure
MAA,"Mid-America Apartment Communities, Inc.",United States,Real Estate,REIT - Residential
MRNA,"Moderna, Inc.",United States,Healthcare,Biotechnology
MHK,"Mohawk Industries, Inc.",United States,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
MOH,"Molina Healthcare, Inc.",United States,Healthcare,Healthcare Plans
TAP,Molson Coors Beverage Company,United States,Consumer Defensive,Beverages - Brewers
MDLZ,"Mondelez International, Inc.",United States,Consumer Defensive,Confectioners
MPWR,"Monolithic Power Systems, Inc.",United States,Technology,Semiconductors
MNST,Monster Beverage Corporation,United States,Consumer Defensive,Beverages - Non-Alcoholic
MCO,Moody's Corporation,United States,Financial Services,Financial Data & Stock Exchanges
MS,Morgan Stanley,United States,Financial Services,Capital Markets
MOS,The Mosaic Company,United States,Basic Materials,Agricultural Inputs
MSI,"Motorola Solutions, Inc.",United States,Technology,Communication Equipment
MSCI,MSCI Inc.,United States,Financial Services,Financial Data & Stock Exchanges
NDAQ,"Nasdaq, Inc.",United States,Financial Services,Financial Data & Stock Exchanges
NTAP,"NetApp, Inc.",United States,Technology,Computer Hardware
NFLX,"Netflix, Inc.",United States,Communication Services,Entertainment
NEM,Newmont Corporation,United States,Basic Materials,Gold
NWSA,News Corporation,United States,Communication Services,Entertainment
NWS,News Corporation,United States,Communication Services,Entertainment
NEE,"NextEra Energy, Inc.",United States,Utilities,Utilities - Regulated Electric
NKE,"NIKE, Inc.",United States,Consumer Cyclical,Footwear & Accessories
NI,NiSource Inc.,United States,Utilities,Utilities - Regulated Gas
NDSN,Nordson Corporation,United States,Industrials,Specialty Industrial Machinery
NSC,Norfolk Southern Corporation,United States,Industrials,Railroads
NTRS,Northern Trust Corporation,United States,Financial Services,Asset Management
NOC,Northrop Grumman Corporation,United States,Industrials,Aerospace & Defense
NCLH,Norwegian Cruise Line Holdings Ltd.,United States,Consumer Cyclical,Travel Services
NRG,"NRG Energy, Inc.",United States,Utilities,Utilities - Independent Power Producers
NUE,Nucor Corporation,United States,Basic Materials,Steel
NVDA,NVIDIA Corporation,United States,Technology,Semiconductors
NVR,"NVR, Inc.",United States,Consumer Cyclical,Residential Construction
NXPI,NXP Semiconductors N.V.,Netherlands,Technology,Semiconductors
ORLY,"O'Reilly Automotive, Inc.",United States,Consumer Cyclical,Specialty Retail
OXY,Occidental Petroleum Corporation,United States,Energy,Oil & Gas E&P
ODFL,"Old Dominion Freight Line, Inc.",United States,Industrials,Trucking
OMC,Omnicom Group Inc.,United States,Communication Services,Advertising Agencies
ON,ON Semiconductor Corporation,United States,Technology,Semiconductors
OKE,"ONEOK, Inc.",United States,Energy,Oil & Gas Midstream
ORCL,Oracle Corporation,United States,Technology,Software - Infrastructure
OTIS,Otis Worldwide Corporation,United States,Industrials,Specialty Industrial Machinery
PCAR,PACCAR Inc,United States,Industrials,Farm & Heavy Construction Machinery
PKG,Packaging Corporation of America,United States,Consumer Cyclical,Packaging & Containers
PLTR,Palantir Technologies Inc.,United States,Technology,Software - Infrastructure
PANW,"Palo Alto Networks, Inc.",United States,Technology,Software - Infrastructure
PARA,Paramount Global,United States,Communication Services,Entertainment
PH,Parker-Hannifin Corporation,United States,Industrials,Specialty Industrial Machinery
PAYX,"Paychex, Inc.",United States,Technology,Software - Application
PAYC,"Paycom Software, Inc.",United States,Technology,Software - Application
PYPL,"PayPal Holdings, Inc.",United States,Financial Services,Credit Services
PNR,Pentair plc,United Kingdom,Industrials,Specialty Industrial Machinery
PEP,"PepsiCo, Inc.",United States,Consumer Defensive,Beverages - Non-Alcoholic
PFE,Pfizer Inc.,United States,Healthcare,Drug Manufacturers - General
PCG,PG&E Corporation,United States,Utilities,Utilities - Regulated Electric
PM,Philip Morris International Inc.,United States,Consumer Defensive,Tobacco
PSX,Phillips 66,United States,Energy,Oil & Gas Refining & Marketing
PNW,Pinnacle West Capital Corporation,United States,Utilities,Utilities - Regulated Electric
PNC,"The PNC Financial Services Group, Inc.",United States,Financial Services,Banks - Regional
POOL,Pool Corporation,United States,Industrials,Industrial Distribution
PPG,"PPG Industries, Inc.",United States,Basic Materials,Specialty Chemicals
PPL,PPL Corporation,United States,Utilities,Utilities - Regulated Electric
PFG,"Principal Financial Group, Inc.",United States,Financial Services,Asset Management
PG,The Procter & Gamble Company,United States,Consumer Defensive,Household & Personal Products
PGR,The Progressive Corporation,United States,Financial Services,Insurance - Property & Casualty
PLD,"Prologis, Inc.",United States,Real Estate,REIT - Industrial
PRU,"Prudential Financial, Inc.",United States,Financial Services,Insurance - Life
PEG,Public Service Enterprise Group Incorporated,United States,Utilities,Utilities - Regulated Electric
PTC,PTC Inc.,United States,Technology,Software - Application
PSA,Public Storage,United States,Real Estate,REIT - Industrial
PHM,"PulteGroup, Inc.",United States,Consumer Cyclical,Residential Construction
PWR,"Quanta Services, Inc.",United States,Industrials,Engineering & Construction
QCOM,QUALCOMM Incorporated,United States,Technology,Semiconductors
DGX,Quest Diagnostics Incorporated,United States,Healthcare,Diagnostics & Research
RL,Ralph Lauren Corporation,United States,Consumer Cyclical,Apparel Manufacturing
RJF,"Raymond James Financial, Inc.",United States,Financial Services,Asset Management
RTX,RTX Corporation,United States,Industrials,Aerospace & Defense
O,Realty Income Corporation,United States,Real Estate,REIT - Retail
REG,Regency Centers Corporation,United States,Real Estate,REIT - Retail
REGN,"Regeneron Pharmaceuticals, Inc.",United States,Healthcare,Biotechnology
RF,Regions Financial Corporation,United States,Financial Services,Banks - Regional
RSG,"Republic Services, Inc.",United States,Industrials,Waste Management
RMD,ResMed Inc.,United States,Healthcare,Medical Instruments & Supplies
RVTY,"Revvity, Inc.",United States,Healthcare,Diagnostics & Research
ROK,"Rockwell Automation, Inc.",United States,Industrials,Specialty Industrial Machinery
