Ticker,Company,Country,Sector,Industry
ROL,"Rollins, Inc.",United States,Consumer Cyclical,Personal Services
ROP,"Roper Technologies, Inc.",United States,Technology,Software - Application
ROST,"Ross Stores, Inc.",United States,Consumer Cyclical,Apparel Retail
RCL,Royal Caribbean Cruises Ltd.,United States,Consumer Cyclical,Travel Services
SPGI,S&P Global Inc.,United States,Financial Services,Financial Data & Stock Exchanges
CRM,"Salesforce, Inc.",United States,Technology,Software - Application
SBAC,SBA Communications Corporation,United States,Real Estate,REIT - Specialty
SLB,Schlumberger Limited,United States,Energy,Oil & Gas Equipment & Services
STX,Seagate Technology Holdings plc,Singapore,Technology,Computer Hardware
SRE,Sempra,United States,Utilities,Utilities - Diversified
NOW,"ServiceNow, Inc.",United States,Technology,Software - Application
SHW,The Sherwin-Williams Company,United States,Basic Materials,Specialty Chemicals
SPG,"Simon Property Group, Inc.",United States,Real Estate,REIT - Retail
SWKS,"Skyworks Solutions, Inc.",United States,Technology,Semiconductors
SJM,The J. M. Smucker Company,United States,Consumer Defensive,Packaged Foods
SW,Smurfit Westrock Plc,Ireland,Consumer Cyclical,Packaging & Containers
SNA,Snap-on Incorporated,United States,Industrials,Tools & Accessories
SOLV,Solventum Corporation,United States,Healthcare,Health Information Services
SO,The Southern Company,United States,Utilities,Utilities - Regulated Electric
LUV,Southwest Airlines Co.,United States,Industrials,Airlines
SWK,"Stanley Black & Decker, Inc.",United States,Industrials,Tools & Accessories
SBUX,Starbucks Corporation,United States,Consumer Cyclical,Restaurants
STT,State Street Corporation,United States,Financial Services,Asset Management
STLD,"Steel Dynamics, Inc.",United States,Basic Materials,Steel
STE,STERIS plc,United States,Healthcare,Medical Devices
SYK,Stryker Corporation,United States,Healthcare,Medical Devices
SMCI,"Super Micro Computer, Inc.",United States,Technology,Computer Hardware
SYF,Synchrony Financial,United States,Financial Services,Credit Services
SNPS,"Synopsys, Inc.",United States,Technology,Software - Infrastructure
SYY,Sysco Corporation,United States,Consumer Defensive,Food Distribution
TMUS,"T-Mobile US, Inc.",United States,Communication Services,Telecom Services
TROW,"T. Rowe Price Group, Inc.",United States,Financial Services,Asset Management
TTWO,"Take-Two Interactive Software, Inc.",United States,Communication Services,Electronic Gaming & Multimedia
TPR,"Tapestry, Inc.",United States,Consumer Cyclical,Luxury Goods
TRGP,Targa Resources Corp.,United States,Energy,Oil & Gas Midstream
TGT,Target Corporation,United States,Consumer Defensive,Discount Stores
TEL,TE Connectivity plc,Ireland,Technology,Electronic Components
TDY,Teledyne Technologies Incorporated,United States,Technology,Scientific & Technical Instruments
TFX,Teleflex Incorporated,United States,Healthcare,Medical Instruments & Supplies
TER,"Teradyne, Inc.",United States,Technology,Semiconductor Equipment & Materials
TSLA,"Tesla, Inc.",United States,Consumer Cyclical,Auto Manufacturers
TXN,Texas Instruments Incorporated,United States,Technology,Semiconductors
TPL,Texas Pacific Land Corporation,United States,Energy,Oil & Gas E&P
TXT,Textron Inc.,United States,Industrials,Aerospace & Defense
TMO,Thermo Fisher Scientific Inc.,United States,Healthcare,Diagnostics & Research
TJX,"The TJX Companies, Inc.",United States,Consumer Cyclical,Apparel Retail
TSCO,Tractor Supply Company,United States,Consumer Cyclical,Specialty Retail
TT,Trane Technologies plc,Ireland,Industrials,Building Products & Equipment
TDG,TransDigm Group Incorporated,United States,Industrials,Aerospace & Defense
TRV,"The Travelers Companies, Inc.",United States,Financial Services,Insurance - Property & Casualty
TRMB,Trimble Inc.,United States,Technology,Scientific & Technical Instruments
TFC,Truist Financial Corporation,United States,Financial Services,Banks - Regional
TYL,"Tyler Technologies, Inc.",United States,Technology,Software - Application
TSN,"Tyson Foods, Inc.",United States,Consumer Defensive,Farm Products
USB,U.S. Bancorp,United States,Financial Services,Banks - Regional
UBER,"Uber Technologies, Inc.",United States,Technology,Software - Application
UDR,"UDR, Inc.",United States,Real Estate,REIT - Residential
ULTA,"Ulta Beauty, Inc.",United States,Consumer Cyclical,Specialty Retail
UNP,Union Pacific Corporation,United States,Industrials,Railroads
UAL,"United Airlines Holdings, Inc.",United States,Industrials,Airlines
UPS,"United Parcel Service, Inc.",United States,Industrials,Integrated Freight & Logistics
URI,"United Rentals, Inc.",United States,Industrials,Rental & Leasing Services
UNH,UnitedHealth Group Incorporated,United States,Healthcare,Healthcare Plans
UHS,"Universal Health Services, Inc.",United States,Healthcare,Medical Care Facilities
VLO,Valero Energy Corporation,United States,Energy,Oil & Gas Refining & Marketing
VTR,"Ventas, Inc.",United States,Real Estate,REIT - Healthcare Facilities
VLTO,Veralto Corporation,United States,Industrials,Pollution & Treatment Controls
VRSN,"VeriSign, Inc.",United States,Technology,Software - Infrastructure
VRSK,"Verisk Analytics, Inc.",United States,Industrials,Consulting Services
VZ,Verizon Communications Inc.,United States,Communication Services,Telecom Services
VRTX,Vertex Pharmaceuticals Incorporated,United States,Healthcare,Biotechnology
VTRS,Viatris Inc.,United States,Healthcare,Drug Manufacturers - Specialty & Generic
VICI,VICI Properties Inc.,United States,Real Estate,REIT - Diversified
V,Visa Inc.,United States,Financial Services,Credit Services
VST,Vistra Corp.,United States,Utilities,Utilities - Independent Power Producers
VMC,Vulcan Materials Company,United States,Basic Materials,Building Materials
WRB,W. R. Berkley Corporation,United States,Financial Services,Insurance - Property & Casualty
GWW,"W.W. Grainger, Inc.",United States,Industrials,Industrial Distribution
WAB,Westinghouse Air Brake Technologies Corporation,United States,Industrials,Railroads
WBA,"Walgreens Boots Alliance, Inc.",United States,Healthcare,Pharmaceutical Retailers
WMT,Walmart Inc.,United States,Consumer Defensive,Discount Stores
DIS,The Walt Disney Company,United States,Communication Services,Entertainment
WBD,"Warner Bros. Discovery, Inc.",United States,Communication Services,Entertainment
WM,"Waste Management, Inc.",United States,Industrials,Waste Management
WAT,Waters Corporation,United States,Healthcare,Diagnostics & Research
WEC,"WEC Energy Group, Inc.",United States,Utilities,Utilities - Regulated Electric
WFC,Wells Fargo & Company,United States,Financial Services,Banks - Diversified
WELL,Welltower Inc.,United States,Real Estate,REIT - Healthcare Facilities
WST,"West Pharmaceutical Services, Inc.",United States,Healthcare,Medical Instruments & Supplies
WDC,Western Digital Corporation,United States,Technology,Computer Hardware
WY,Weyerhaeuser Company,United States,Real Estate,REIT - Specialty
WMB,"The Williams Companies, Inc.",United States,Energy,Oil & Gas Midstream
WTW,Willis Towers Watson Public Limited Company,United Kingdom,Financial Services,Insurance Brokers
WDAY,"Workday, Inc.",United States,Technology,Software - Application
WYNN,"Wynn Resorts, Limited",United States,Consumer Cyclical,Resorts & Casinos
XEL,Xcel Energy Inc.,United States,Utilities,Utilities - Regulated Electric
XYL,Xylem Inc.,United States,Industrials,Specialty Industrial Machinery
YUM,"Yum! Brands, Inc.",United States,Consumer Cyclical,Restaurants
